headword,pos,supplement,entry,meaning,ipa,example_sentence,translated_sentence
,,,distinguish,"...を区別する / 〈物事が〉…の特徴である / 《通例canと共に》…をはっきり見る,聞く / 〈自分〉を目立たせる",/dɪˈstɪŋɡwɪʃ/,It is important to distinguish between right and wrong.,正しいことと間違ったことを区別することは重要です。
,,,massive,"大きくて重い / 大規模な, 膨大な",/mæsɪv/,The elephant is massive.,象は大きいです。
,,,greet,【動/他】〈人など〉にあいさつする / 《喜び・親しみ・悪意などをもって》…を迎える《with ...》,/ɡriːt/,I greet my friends every morning.,私は毎朝友達に挨拶をします。
,,,period,"〈C〉(あることが続く) 期間 / (歴史的な) 時代 / (試合の)一区切り / 《おもに米》ピリオド, 終止符",/ˈpɪəriəd/,The period of the dinosaurs lasted [[up to]] 65 million years.,"恐竜の時代は6,500万年まで続いたと言われています。"
,,,crucial,重要な / 決定的な / 必須の / 不可欠な,/ˈkruːʃəl/,This information is crucial for the success of the project.,この情報はプロジェクトの成功に重要です。
,,,transition,"〈U/C〉《...から...への》移行, 変遷《from ... to ...》 / 《...から...への》過渡期《from ... to ...》",/trænˈzɪʃən/,The transition from summer to autumn is always beautiful.,夏から秋への移り変わりはいつも美しいです。
,,,competitive,"【形】競争の, 競争による / 競争心の強い",/kəmˈpɛtətɪv/,She is very competitive and always wants to win.,彼女はとても競争心が強く、いつも勝ちたがっています。
,,,responsibility,"〈U〉責任があること / 〈C〉責任を負うべきこと, 責務",/rɪˌspɑːnsəˈbɪləti/,Taking responsibility for your actions is important.,自分の行動に責任を持つことは重要です。
,,,discussion,"〈U〉《...についての》議論, 討論, 検討《about, on ...》",/dɪˈskʌʃən/,The discussion about the new project lasted for hours.,新しいプロジェクトについての議論は数時間続きました。
,,,democratic,民主主義の / (人・態度などが)民主的な,/dɪˈmɑːkrətɪk/,The country has a strong democratic tradition.,その国は強い民主主義の伝統を持っています。
,,,stick,"【名/C】棒, 棒きれ,枝 / (歩行用)ステッキ,杖  / 《~ of ...》 棒状《の...》 /《話》処罰,せっかん",/stɪk/,I found a stick on the ground.,地面に棒を見つけました。
